id,answered,concerned_teacher,how_teacher,have_teacher,respect_teacher,disrespectful_people,understand_people,energy_school,fights_students,support_adults,fair_rules,online_bully,respect_students,behavior_students,school_violence,belong_school,excited_teacher,adult_help
stu-e1-72,y,Slightly concerned,Almost never,Not at all excited,Somewhat respectful,Frequently,Understand somewhat,Slightly positive,Frequently,No support at all,Somewhat fair,Quite likely,Quite a bit of respect,Neither helps nor hurts my learning,Sometimes,Belong quite a bit,Frequently,Extremely difficult
stu-e1-73,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e1-74,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e1-75,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e1-76,y,Not at all concerned,Sometimes,Quite excited,Quite respectful,Almost never,Completely understand,Somewhat positive,Once in a while,Some support,Neither unfair or fair,Slightly likely,A little bit of respect,Hurts my learning a tremendous amount,Once in a while,Belong somewhat,Frequently,Somewhat difficult
stu-e1-77,y,Extremely concerned,Almost always,Somewhat excited,Quite respectful,Once in a while,Understand somewhat,Slightly positive,Once in a while,A tremendous amount of support,Somewhat fair,Slightly likely,Some respect,Helps my learning a little bit,Almost never,Belong somewhat,Frequently,Not at all difficult
stu-e1-78,y,Slightly concerned,Almost never,Not at all excited,Slightly respectful,Frequently,Do not understand at all,Somewhat negative,Sometimes,Some support,Neither unfair or fair,Somewhat likely,Quite a bit of respect,Helps my learning a little bit,Sometimes,Belong somewhat,Once in a while,Somewhat difficult
stu-e1-79,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e1-80,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e1-81,y,Extremely concerned,Sometimes,Somewhat excited,Quite respectful,Almost never,Understand quite a bit,Very positive,Frequently,No support at all,Very fair,Not at all likely,A tremendous amount of respect,Helps my learning a tremendous amount,Once in a while,Belong somewhat,Frequently,Quite difficult
stu-e1-82,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e1-83,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e1-84,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e1-85,y,Extremely concerned,Almost always,Extremely excited,Extremely respectful,Almost never,Understand somewhat,Slightly positive,Almost never,A little bit of support,Slightly fair,Quite likely,Some respect,Hurts my learning a little bit,Once in a while,Belong somewhat,Sometimes,Extremely difficult
stu-e1-86,y,Not at all concerned,Once in a while,Not at all excited,Somewhat respectful,Sometimes,Understand quite a bit,Slightly positive,Once in a while,A tremendous amount of support,Slightly fair,Not at all likely,No respect at all,Hurts my learning some,Almost never,Belong quite a bit,Sometimes,Slightly difficult
stu-e1-87,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e1-88,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e1-89,y,Somewhat concerned,Frequently,Extremely excited,Somewhat respectful,Frequently,Understand somewhat,Slightly positive,Sometimes,Quite a bit of support,Somewhat fair,Quite likely,Quite a bit of respect,Helps my learning some,Sometimes,Belong somewhat,Sometimes,Not at all difficult
stu-e1-90,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e1-91,y,Somewhat concerned,Frequently,Quite excited,Extremely respectful,Sometimes,Understand somewhat,Slightly negative,Once in a while,A tremendous amount of support,Somewhat unfair,Somewhat likely,A little bit of respect,Hurts my learning a little bit,Frequently,Do not belong at all,Sometimes,Slightly difficult
stu-e1-92,y,Extremely concerned,Sometimes,Quite excited,Quite respectful,Frequently,Understand a little,Neither negative or positive,Frequently,No support at all,Neither unfair or fair,Quite likely,Quite a bit of respect,Neither helps nor hurts my learning,Once in a while,Belong quite a bit,Almost always,Quite difficult
stu-e1-93,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e1-94,y,Slightly concerned,Sometimes,Somewhat excited,Somewhat respectful,Once in a while,Completely understand,Slightly positive,Almost never,A little bit of support,Slightly fair,Not at all likely,No respect at all,Neither helps nor hurts my learning,Almost never,Completely belong,Once in a while,Somewhat difficult
stu-e1-95,y,Somewhat concerned,Once in a while,Slightly excited,Slightly respectful,Once in a while,Understand quite a bit,Neither negative or positive,Frequently,No support at all,Slightly fair,Slightly likely,A tremendous amount of respect,Helps my learning some,Once in a while,Belong somewhat,Once in a while,Extremely difficult
stu-e1-96,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e1-97,y,Extremely concerned,Almost always,Somewhat excited,Quite respectful,Frequently,Understand a little,Somewhat negative,Frequently,Some support,Neither unfair or fair,Quite likely,Quite a bit of respect,Helps my learning a little bit,Sometimes,Belong somewhat,Sometimes,Quite difficult
stu-e1-98,y,Extremely concerned,Sometimes,Somewhat excited,Quite respectful,Once in a while,Completely understand,Very positive,Once in a while,Quite a bit of support,Slightly fair,Somewhat likely,A little bit of respect,Hurts my learning a little bit,Once in a while,Belong somewhat,Almost always,Not at all difficult
stu-e1-99,y,Not at all concerned,Almost never,Not at all excited,Not at all respectful,Almost always,Do not understand at all,Neither negative or positive,Once in a while,No support at all,Neither unfair or fair,Somewhat likely,No respect at all,Hurts my learning a tremendous amount,Once in a while,Belong somewhat,Almost never,Quite difficult
stu-e1-100,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e1-101,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e1-102,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e1-103,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e1-104,y,Somewhat concerned,Sometimes,Somewhat excited,Slightly respectful,Frequently,Do not understand at all,Very negative,Sometimes,A tremendous amount of support,Somewhat unfair,Extremely likely,A little bit of respect,Hurts my learning a little bit,Sometimes,Belong a little bit,Sometimes,Not at all difficult
stu-e1-105,y,Not at all concerned,Almost never,Somewhat excited,Somewhat respectful,Almost always,Do not understand at all,Very negative,Almost never,No support at all,Somewhat unfair,Quite likely,Some respect,Helps my learning a little bit,Frequently,Belong a little bit,Sometimes,Somewhat difficult
stu-e1-106,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e1-107,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e1-108,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e1-109,y,Not at all concerned,Sometimes,Slightly excited,Slightly respectful,Sometimes,Understand a little,Slightly negative,Once in a while,No support at all,Very unfair,Quite likely,No respect at all,Hurts my learning some,Sometimes,Belong quite a bit,Sometimes,Extremely difficult
stu-e1-110,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e1-111,y,Not at all concerned,Sometimes,Somewhat excited,Somewhat respectful,Once in a while,Understand somewhat,Slightly negative,Frequently,A tremendous amount of support,Very unfair,Quite likely,Quite a bit of respect,Helps my learning a little bit,Sometimes,Belong quite a bit,Once in a while,Slightly difficult
stu-e1-112,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e1-113,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e1-114,y,Somewhat concerned,Sometimes,Quite excited,Somewhat respectful,Almost never,Completely understand,Very positive,Almost never,No support at all,Very fair,Slightly likely,No respect at all,Hurts my learning some,Almost never,Belong somewhat,Sometimes,Extremely difficult
stu-e1-115,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e1-116,y,Not at all concerned,Almost never,Slightly excited,Not at all respectful,Once in a while,Understand quite a bit,Neither negative or positive,Sometimes,Quite a bit of support,Slightly unfair,Somewhat likely,A little bit of respect,Neither helps nor hurts my learning,Almost always,Belong somewhat,Sometimes,Somewhat difficult
stu-e1-117,y,Extremely concerned,Sometimes,Slightly excited,Not at all respectful,Sometimes,Understand a little,Somewhat negative,Sometimes,A little bit of support,Slightly unfair,Extremely likely,A little bit of respect,Hurts my learning a tremendous amount,Sometimes,Belong somewhat,Almost never,Quite difficult
stu-e1-118,y,Somewhat concerned,Once in a while,Somewhat excited,Somewhat respectful,Once in a while,Understand somewhat,Slightly negative,Almost always,A little bit of support,Slightly unfair,Quite likely,Quite a bit of respect,Neither helps nor hurts my learning,Frequently,Belong a little bit,Once in a while,Extremely difficult
stu-e1-119,y,Slightly concerned,Once in a while,Somewhat excited,Slightly respectful,Frequently,Do not understand at all,Somewhat negative,Frequently,Some support,Neither unfair or fair,Extremely likely,A tremendous amount of respect,Helps my learning some,Once in a while,Belong somewhat,Sometimes,Slightly difficult
stu-e1-120,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e1-121,y,Not at all concerned,Sometimes,Somewhat excited,Slightly respectful,Once in a while,Understand quite a bit,Somewhat positive,Almost always,No support at all,Slightly fair,Slightly likely,Quite a bit of respect,Helps my learning a little bit,Sometimes,Belong somewhat,Sometimes,Somewhat difficult
stu-e1-122,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e1-123,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e1-124,y,Not at all concerned,Almost never,Somewhat excited,Slightly respectful,Almost never,Understand somewhat,Neither negative or positive,Sometimes,Some support,Neither unfair or fair,Quite likely,Quite a bit of respect,Helps my learning some,Once in a while,Belong quite a bit,Almost never,Quite difficult
stu-e1-125,y,Extremely concerned,Sometimes,Slightly excited,Slightly respectful,Almost always,Understand a little,Somewhat negative,Sometimes,No support at all,Somewhat unfair,Somewhat likely,A little bit of respect,Neither helps nor hurts my learning,Sometimes,Belong somewhat,Once in a while,Somewhat difficult
stu-e1-126,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e1-127,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e1-128,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e1-129,y,Somewhat concerned,Once in a while,Somewhat excited,Somewhat respectful,Frequently,Do not understand at all,Somewhat negative,Frequently,A little bit of support,Neither unfair or fair,Extremely likely,A tremendous amount of respect,Helps my learning a tremendous amount,Sometimes,Belong quite a bit,Once in a while,Quite difficult
stu-e1-130,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e1-131,y,Extremely concerned,Almost always,Extremely excited,Somewhat respectful,Almost never,Understand somewhat,Neither negative or positive,Almost never,No support at all,Neither unfair or fair,Quite likely,Some respect,Neither helps nor hurts my learning,Once in a while,Completely belong,Once in a while,Extremely difficult
stu-e1-132,y,Somewhat concerned,Sometimes,Quite excited,Quite respectful,Sometimes,Understand quite a bit,Somewhat positive,Almost always,Some support,Very fair,Not at all likely,A tremendous amount of respect,Neither helps nor hurts my learning,Once in a while,Belong somewhat,Sometimes,Somewhat difficult
stu-e1-133,y,Somewhat concerned,Frequently,Somewhat excited,Somewhat respectful,Sometimes,Understand somewhat,Neither negative or positive,Almost always,A little bit of support,Slightly fair,Slightly likely,Quite a bit of respect,Neither helps nor hurts my learning,Once in a while,Belong somewhat,Once in a while,Somewhat difficult
stu-e1-134,y,Extremely concerned,Almost always,Quite excited,Extremely respectful,Almost always,Understand somewhat,Slightly negative,Frequently,A tremendous amount of support,Slightly unfair,Quite likely,Quite a bit of respect,Helps my learning some,Almost always,Do not belong at all,Almost always,Slightly difficult
stu-e1-135,y,Quite concerned,Almost always,Extremely excited,Somewhat respectful,Frequently,Understand a little,Slightly negative,Frequently,No support at all,Neither unfair or fair,Extremely likely,Quite a bit of respect,Neither helps nor hurts my learning,Frequently,Belong a little bit,Once in a while,Quite difficult
stu-e1-136,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e1-137,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e1-138,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e1-139,y,Not at all concerned,Sometimes,Slightly excited,Not at all respectful,Almost always,Do not understand at all,Slightly negative,Sometimes,A little bit of support,Neither unfair or fair,Quite likely,A little bit of respect,Hurts my learning a tremendous amount,Sometimes,Belong somewhat,Almost never,Quite difficult
stu-e1-140,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e1-141,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e1-142,y,Quite concerned,Frequently,Quite excited,Extremely respectful,Frequently,Do not understand at all,Slightly negative,Once in a while,No support at all,Slightly unfair,Quite likely,A little bit of respect,Hurts my learning a tremendous amount,Frequently,Do not belong at all,Sometimes,Quite difficult
stu-e1-143,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e1-144,y,Slightly concerned,Once in a while,Somewhat excited,Quite respectful,Sometimes,Understand somewhat,Slightly positive,Sometimes,A little bit of support,Slightly fair,Slightly likely,Quite a bit of respect,Neither helps nor hurts my learning,Sometimes,Belong quite a bit,Frequently,Extremely difficult
stu-e1-145,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e1-146,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e1-147,y,Quite concerned,Sometimes,Somewhat excited,Slightly respectful,Once in a while,Understand somewhat,Slightly negative,Frequently,Quite a bit of support,Somewhat unfair,Somewhat likely,Quite a bit of respect,Neither helps nor hurts my learning,Frequently,Belong a little bit,Sometimes,Slightly difficult
stu-e1-148,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e1-149,y,Extremely concerned,Sometimes,Quite excited,Quite respectful,Frequently,Understand somewhat,Slightly negative,Almost always,Quite a bit of support,Very unfair,Somewhat likely,Quite a bit of respect,Helps my learning a tremendous amount,Frequently,Do not belong at all,Frequently,Not at all difficult
stu-e1-150,y,Slightly concerned,Sometimes,Quite excited,Extremely respectful,Sometimes,Understand quite a bit,Neither negative or positive,Frequently,A tremendous amount of support,Neither unfair or fair,Not at all likely,A tremendous amount of respect,Neither helps nor hurts my learning,Sometimes,Belong somewhat,Sometimes,Slightly difficult
stu-e1-151,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e1-152,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e1-153,y,Not at all concerned,Almost never,Somewhat excited,Quite respectful,Almost never,Understand quite a bit,Very positive,Once in a while,A little bit of support,Neither unfair or fair,Somewhat likely,Some respect,Hurts my learning a little bit,Once in a while,Belong quite a bit,Frequently,Somewhat difficult
stu-e1-154,y,Quite concerned,Frequently,Somewhat excited,Slightly respectful,Almost always,Do not understand at all,Neither negative or positive,Almost never,Quite a bit of support,Slightly fair,Somewhat likely,A little bit of respect,Neither helps nor hurts my learning,Sometimes,Belong a little bit,Sometimes,Slightly difficult
stu-e1-155,y,Not at all concerned,Almost never,Somewhat excited,Quite respectful,Once in a while,Understand somewhat,Slightly positive,Frequently,A little bit of support,Very fair,Quite likely,A tremendous amount of respect,Helps my learning a tremendous amount,Sometimes,Belong quite a bit,Almost always,Somewhat difficult
stu-e1-156,y,Not at all concerned,Almost never,Slightly excited,Somewhat respectful,Almost never,Understand somewhat,Slightly positive,Sometimes,A tremendous amount of support,Slightly fair,Somewhat likely,A little bit of respect,Hurts my learning a little bit,Once in a while,Completely belong,Frequently,Somewhat difficult
stu-e1-157,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e1-158,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
